id,gender,postal_code,poisson,stocks,university,country
322,Female,5464,4,n/a,University of Twente,Netherlands
323,Female,44804 CEDEX,4,$710.31M,Ecole Nationale Supérieure de Physique de Grenoble,France
324,Male,33911 CEDEX 9,4,$1.61B,Ecole Supérieure de Commerce de Marseille-Provence,France
325,Female,76418 CEDEX 9,1,$97.01M,Ecole Supérieure d'Optique,France
326,Male,67604 CEDEX,3,n/a,Institut des hautes études économiques et commerciales,France
327,Female,92822 CEDEX,2,$305.6M,Ecole Nationale Supérieure d'Ingénieurs en Mécanique et Energétique de Valenciennes,France
328,Female,75784 CEDEX 16,8,$31.3M,Université Louis Pasteur (Strasbourg I),France
329,Male,59784 CEDEX 9,7,n/a,Université de Caen Basse Normandie,France
330,Male,38554 CEDEX,3,n/a,Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg,France
331,Male,27109 CEDEX,8,$148.4M,Institut d'Etudes Politiques de Paris (Sciences Po),France
332,Male,5464,6,$93.58M,Zuyd University,Netherlands
333,Male,54154 CEDEX,3,$2.24B,Ecole Nationale Supérieur d'Ingénieurs de Constructions Aéronautique,France
334,Female,84104 CEDEX,2,$118.89M,Université de Rouen - Haute Normandie,France
335,Male,58004 CEDEX,7,$126.61M,Ecole Supérieure de Commerce de Bordeaux,France
336,Female,8914,9,$88.58B,Hogeschool Inholland,Netherlands
337,Male,35435 CEDEX,3,n/a,Université Paris Sud (Paris XI),France
338,Male,99089,2,$53.7M,Universität Erfurt,Germany
339,Female,44004 CEDEX 1,5,$1.35B,Grenoble Ecole de Management,France
340,Male,57016 CEDEX 01,1,$152.41M,Université d'Aix-Marseille III,France
341,Male,79204 CEDEX,4,n/a,Institut National des Sciences Appliquées de Rouen,France
342,Female,31101 CEDEX 9,4,$2.62B,Ecole Nationale Supérieure de Chimie de Clermont-Ferrand,France
343,Female,64109 CEDEX,9,$318.69M,Ecole Supérieure de Commerce de Le Havre/Caen,France
344,Male,19011 CEDEX,5,$11.98M,Ecole Superieur d'Ingenieurs Leonard de Vinci,France
345,Male,80891 CEDEX 3,3,$16.58B,Ecole Nationale des Ponts et Chausees,France
346,Male,76177 CEDEX,5,$5.75B,Institut Catholique de Paris,France
347,Female,13095 CEDEX 2,1,$56.64B,Ecole Supérieure d'Optique,France
348,Male,75345 CEDEX 07,7,$282.31M,Groupe Sup de Co Amiens Picardie,France
349,Male,35435 CEDEX,1,$165.47M,Université Paul Valéry (Montpellier III),France
350,Male,7609,3,$4.16B,Foundation University,Netherlands
351,Female,13348 CEDEX 20,8,$4.69B,Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,France
352,Female,40013 CEDEX,4,$196.39M,Ecole Supérieure de Commerce de Reims,France
353,Male,92061 CEDEX,2,$83.79M,Ecole de l'Air,France
354,Female,94454 CEDEX,5,$2.16B,Université François Rabelais de Tours,France
355,Male,75954 CEDEX 19,7,n/a,Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,France
356,Male,35047 CEDEX 9,4,$715.78M,Ecole Supérieure de Commerce de Lille,France
357,Female,67124 CEDEX,8,$852.55M,Institut National des Sciences Appliquées de Lyon,France
358,Male,60434 CEDEX,3,$226.45M,Ecole Nationale d'Ingénieurs de Saint-Etienne,France
359,Female,60109 CEDEX 1,13,$1.41B,Université Joseph Fourier (Grenoble I),France
360,Female,88154 CEDEX,3,$21.7B,Institut National des Sciences Appliquées de Rennes,France
361,Female,75547 CEDEX 11,7,n/a,Université Robert Schuman (Strasbourg III),France
362,Female,L-8531,4,n/a,International University Institute of Luxembourg,Luxembourg
363,Male,75587 CEDEX 12,5,n/a,Université de Nantes,France
364,Male,56019 CEDEX,4,$185.42M,Ecole Supérieure d'Agriculture de Purpan,France
365,Female,34536 CEDEX,5,$171.84M,Ecole Universitaire d'Ingénieurs de Lille,France
366,Female,13327 CEDEX 15,2,$2.1B,American Graduate School in Paris,France
367,Male,21209 CEDEX,10,$618.24M,Université Nancy II,France
368,Female,91029 CEDEX,5,$58.82B,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,France
369,Female,25204 CEDEX,3,$541.39M,Ecole Catholique d'Arts & Metiers,France
370,Male,90451,3,$65.53M,Hochschule Magdeburg-Stendal (FH),Germany
371,Male,4874,4,n/a,University for Humanistics (UH),Netherlands
372,Female,93883 CEDEX,10,$5.35B,Ecole Centrale de Nantes,France
373,Female,49309 CEDEX,7,$14.58M,Université de Valenciennes et du Hainaut-Cambrésis,France
374,Male,69362 CEDEX 07,6,$329.78M,Ecole Nationale Supérieure de Chimie de Toulouse,France
375,Male,78165 CEDEX,10,$24.23M,Centre d'Etudes Supérieures des Techniques Industrielles,France
376,Male,35087 CEDEX,7,n/a,Université Vincennes Saint-Denis (Paris VIII),France
377,Female,44036 CEDEX 1,6,$17.47B,Université Jean Monnet,France
378,Male,86083 CEDEX 9,3,$1.76B,Ecole Normale Supérieure de Fontenay-Saint Cloud,France
379,Female,4010,3,$1.99B,University of Applied Sciences Solothurn Northwestern Switzerland,Switzerland
380,Male,35605 CEDEX,1,$63.58M,Ecole Supérieure des Sciences Commerciales d'Angers,France
381,Female,22004 CEDEX 1,10,n/a,Université Robert Schuman (Strasbourg III),France
382,Female,69907 CEDEX 20,7,n/a,Université René Descartes (Paris V),France
383,Male,59895 CEDEX 9,7,n/a,Ecole Nationale Supérieure des Telecommunications de Paris,France
384,Female,06116,6,$979.51M,Fachhochschule Gießen-Friedberg,Germany
385,Female,83300,6,$542.67M,Ecole Nationale Supérieur de Mécaniques et des Microtechniques,France
386,Male,7804,3,$807.79M,Radboud University of Nijmegen,Netherlands
387,Female,24109,4,$858.03M,Universität Erfurt,Germany
388,Female,76029 CEDEX,2,$63.88M,Ecole Nationale d'Ingénieurs de Metz,France
389,Male,81506 CEDEX,5,$34.07M,Ecole Nationale d'Ingénieurs de Saint-Etienne,France
390,Male,76011 CEDEX,5,$52.53M,Université Denis Diderot (Paris VII),France
391,Female,38554 CEDEX,4,$100.76M,Université de Franche-Comté,France
392,Female,69446 CEDEX 03,6,$276.46M,Institut d'Etudes Politiques de Paris (Sciences Po),France
393,Female,75096 CEDEX 02,6,$6.99B,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,France
394,Male,L-9378,5,n/a,University of Luxemburg,Luxembourg
395,Female,14409 CEDEX,8,n/a,Université de Marne la Vallée,France
396,Male,5509,4,$17.83M,Radboud University of Nijmegen,Netherlands
397,Female,5244,3,$10.19B,Foundation University,Netherlands
398,Female,73009 CEDEX,2,$128.88M,Ecole Nationale Supérieur des Ingénieur des Etudes et Techniques d'Armement,France
399,Female,78204 CEDEX,2,$536.92M,Ecole Nationale Supérieur de Géologie de Nancy,France
400,Male,51149,7,$2.93B,Universität Augsburg,Germany
401,Male,5044,3,$775.3M,Hogeschool Inholland,Netherlands
402,Male,68925 CEDEX,4,$8.51B,Ecole Nationale de la Météorologie,France
403,Female,07304 CEDEX,2,$118.13M,Université Catholique de Lille,France
404,Male,92393 CEDEX,6,$69.29M,Ecole Supérieure d'Ingénieurs en Electronique et Electrotechnique,France
405,Male,78020 CEDEX,4,$890M,Groupe Sup de Co Amiens Picardie,France
406,Female,21209 CEDEX,3,$32.65B,Université Rennes I,France
407,Male,L-9651,10,$5.52B,International University Institute of Luxembourg,Luxembourg
408,Male,13662 CEDEX,1,$1.21B,Université Jean Monnet,France
409,Male,50204 CEDEX,5,$589.8M,Ecole Nationale Supérieure de Physique de Marseille,France
410,Male,72100,9,$177.28M,Université Sorbonne-Nouvelle (Paris III),France
411,Female,76029 CEDEX,7,$36.8M,Ecole Superieur d'Ingenieurs Leonard de Vinci,France
412,Female,37044 CEDEX 9,3,$1.28B,Ecole des Ingénieurs de la Ville de Paris,France
413,Male,79106,5,$193.2M,"Fachhochschule Stuttgart, Hochschule für Technik",Germany
414,Male,35164 CEDEX,3,$30.33B,Ecole Supérieure des Sciences Commerciales d'Angers,France
415,Male,21806 CEDEX,5,$48.81M,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,France
416,Female,7504,6,$1.32B,Free University Amsterdam,Netherlands
417,Female,78093 CEDEX 9,7,$83.67M,Université du Droit et de la Sante (Lille II),France
418,Male,75235 CEDEX 05,3,n/a,Université Vincennes Saint-Denis (Paris VIII),France
419,Male,37032 CEDEX 1,4,$2.76B,Ecole Centrale d'Electronique - ECE,France
420,Male,13568 CEDEX 02,7,$266.19M,"Schiller International University, Strasbourg",France
421,Female,83404 CEDEX,4,n/a,Ecole Nationale Supérieure des Mines de Paris,France
422,Male,13538 CEDEX,4,$8.37B,Ecole Polytechnique,France
423,Male,84092 CEDEX 9,2,n/a,Ecole Supérieure de Commerce et Management,France
424,Female,84964 CEDEX,3,$4.08B,Ecole Nationale Supérieure d'Ingénieurs de Génie Chimique,France
425,Female,31101 CEDEX 9,2,$393.18M,Centre d'Etudes Supérieures Industrielles Paris,France
426,Male,6824,4,$185.4M,NHL University of Applied Sciences,Netherlands
427,Female,1354,5,$446M,University for Humanistics (UH),Netherlands
428,Female,92214 CEDEX,6,$146.64M,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,France
429,Male,67137 CEDEX,2,n/a,Ecole Supérieure de Commerce de Brest,France
430,Male,28034 CEDEX,4,n/a,Ecole Supérieure de Commerce de Nantes-Atlantique,France
431,Male,88504 CEDEX,5,n/a,Institut National des Sciences Appliquées de Toulouse,France
432,Male,16104 CEDEX,6,$710.19M,Université de Corse Pascal Paoli,France
433,Female,38504 CEDEX,3,n/a,Ecole Supérieure des Sciences Commerciales d'Angers,France
434,Female,7814,3,$796.59M,Islamic University of Rotterdam,Netherlands
435,Male,77815 CEDEX,8,n/a,Université de Reims Champagne-Ardenne,France
436,Male,41355 CEDEX,4,$9.04B,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,France
437,Female,75080 CEDEX 02,1,$6.98B,Institut des Sciences de l'Ingénieur de Montpellier,France
438,Male,75374 CEDEX 08,7,$548.61M,Université de Montpellier II,France
439,Male,4819,5,$20.37B,Radboud University of Nijmegen,Netherlands
440,Female,60022 CEDEX,1,n/a,Université d'Orléans,France
441,Female,64504 CEDEX,11,$61.57M,Ecole Nationale Supérieure d'Agronomie et des Industries Alimentaires,France
442,Female,34194 CEDEX 5,7,$84.95M,Ecole Supérieure d'Electronique de l'Ouest,France
443,Female,92139 CEDEX,4,$487.29M,IDRAC (Institut de recherche en action commerciale),France
444,Female,92885 CEDEX 9,9,n/a,Ecole Nationale Supérieure de Chimie de Rennes,France
445,Female,45141,4,$854.72M,Fachhochschule München,Germany
446,Female,91959 CEDEX,4,$286.77M,Ecole des Hautes Etudes Industrielles de Lille,France
447,Male,68004 CEDEX,6,$6.18B,"British Institute in Paris, University of London",France
448,Male,73209 CEDEX,5,$1.52B,Ecole Catholique d'Arts & Metiers,France
449,Female,22111,5,$2.54B,Pädagogische Hochschule Schwäbisch Gmünd,Germany
450,Male,59784 CEDEX 9,6,$1.18B,Ecole Supérieure de Commerce et Management,France
451,Female,94745 CEDEX,8,$567.1M,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble,France
452,Female,37082 CEDEX 2,6,$13.04M,Institut Catholique de Paris,France
453,Male,84072 CEDEX 4,7,$269.2M,Ecole Normale Supérieure de Paris,France
454,Male,07309 CEDEX,5,$8.37B,Ecole Nationale Supérieure des Mines de Douai,France
455,Male,06357 CEDEX 4,4,$1.72B,Institut Catholique d'Arts et Métiers Lille,France
456,Female,91049 CEDEX,6,$4.11B,European Business School,France
457,Male,95092 CEDEX,3,$38.98B,Ecole Supérieure de Commerce de Brest,France
458,Female,2334,7,n/a,Stenden University,Netherlands
459,Male,89010 CEDEX,3,n/a,Institut National des Sciences Appliquées de Rennes,France
460,Female,87066 CEDEX 2,7,$403.05M,Université Robert Schuman (Strasbourg III),France
461,Male,16104 CEDEX,6,n/a,Université Robert Schuman (Strasbourg III),France
462,Male,38509 CEDEX,5,n/a,Université Louis Pasteur (Strasbourg I),France
463,Female,6529,3,$1.57B,Universiteit Doesburg (UNDO),Netherlands
464,Male,94224 CEDEX,3,$469.81M,Institut des hautes études économiques et commerciales,France
465,Male,49023 CEDEX 02,6,$21.91B,"Université du Sud, Toulon et Var",France
466,Female,94234 CEDEX,4,n/a,"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",France
467,Male,L-7270,3,$20.13M,International University Institute of Luxembourg,Luxembourg
468,Male,58004 CEDEX,2,n/a,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,France
469,Male,18104 CEDEX,7,$3.09B,Université de Poitiers,France
470,Female,13681 CEDEX,6,$1.4B,Université d'Aix-Marseille III,France
471,Male,91104 CEDEX,8,$531.09M,Université de Franche-Comté,France
472,Female,75390 CEDEX 08,5,$379.12M,Grenoble Ecole de Management,France
473,Female,27576,3,$414.73M,Universität Koblenz-Landau,Germany
474,Female,77304 CEDEX,7,$10.91M,Université des Sciences Sociales (Toulouse I),France
475,Female,17209 CEDEX,3,$7.22B,Ecole Nationale Supérieure de Physique de Strasbourg,France
476,Female,53009 CEDEX,2,$27.99M,Ecole Nationale Supérieure de Techniques Avancées,France
477,Male,25204 CEDEX,4,$209.97M,ENIC Telecom Lille 1,France
478,Male,34294 CEDEX 5,5,n/a,Ecole Nationale des Sciences Géographiques,France
479,Male,44269,5,$253.22M,Fachhochschule Koblenz,Germany
480,Male,94537 CEDEX,7,n/a,Ecole Supérieure d'Informatique-Electronique-Automatique,France
481,Male,50309 CEDEX,7,$1.19B,Ecole Nationale Superieure d'Informatique et de Mathematiques Appliquees de Grenoble,France
482,Female,42014 CEDEX 2,6,$11.18B,Université Paul Sabatier (Toulouse III),France
483,Male,75128 CEDEX 11,2,$1.02B,Université François Rabelais de Tours,France
484,Male,85923 CEDEX 9,6,$1.22B,Ecole Nationale Supérieure des Industries Chimiques de Nancy,France
485,Female,92056 CEDEX,5,$22.36M,Université des Sciences Sociales (Toulouse I),France
486,Male,25117 CEDEX,10,$72.13M,Université de Provence (Aix-Marseille I),France
487,Female,68704 CEDEX,4,$4.33B,Ecole Nationale de la Statistique et de l'Analyse de l'information,France
488,Male,92521 CEDEX,6,$8.98B,"British Institute in Paris, University of London",France
489,Male,L-9765,9,n/a,International University Institute of Luxembourg,Luxembourg
490,Female,74041 CEDEX,6,$858.79M,Ecole Supérieure de Commerce de Dijon,France
491,Female,06224 CEDEX,6,$442.96M,Université Rennes II - Haute-Bretagne,France
492,Male,41942 CEDEX 9,3,$229.33M,Institut Supérieur d'Agriculture Lille,France
493,Female,84204 CEDEX,5,$170.57M,Université de la Méditerranée (Aix Marseille II),France
494,Female,9052,5,$124.75M,ECAM - Institut Supérieur Industriel,Belgium
495,Female,5244,5,n/a,Hogeschool Rotterdam,Netherlands
496,Male,44474 CEDEX,6,$1.63B,Ecole Nationale Supérieure de Physique de Marseille,France
497,Male,33614 CEDEX,9,$74.57M,Ecole Supérieure de Commerce de Lyon,France
498,Male,L-4993,5,$441.75M,International University Institute of Luxembourg,Luxembourg
499,Male,L-8523,5,$299.85M,International University Institute of Luxembourg,Luxembourg
500,Female,59444 CEDEX,5,$1.82B,Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,France
501,Female,57954 CEDEX,5,$4.5B,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,France
502,Male,72035 CEDEX 1,3,$67.58M,Université d'Avignon,France
503,Male,92742 CEDEX,3,$101.12M,Ecole Nationale Supérieure de Chimie de Paris,France
504,Male,3439,4,$970.48M,Foundation University,Netherlands
505,Female,94865 CEDEX,9,$22.51M,Ecole Spéciale de Mécanique et d'Electricité,France
506,Male,37922 CEDEX 9,5,$9.97B,Université Montesquieu (Bordeaux IV),France
507,Male,93462 CEDEX,5,n/a,"Ecole Nationale Supérieure d'Electronique, d'Electrotechnique, d'Informatique et d'Hydraulique de Toulouse",France
508,Male,13316 CEDEX 15,4,$2.33B,Institut des Sciences de la Matière et du Rayonnement,France
509,Male,95445 CEDEX,8,n/a,Ecole Nationale Supérieure de Physique de Marseille,France
510,Female,54704 CEDEX,7,$889.24M,Ecole Nationale d'Ingénieurs de Metz,France
511,Female,33036 CEDEX,2,n/a,Université du Maine,France
512,Female,L-6231,6,n/a,International University Institute of Luxembourg,Luxembourg
513,Female,84072 CEDEX 4,4,$1.05B,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,France
514,Male,L-5978,5,$858.11M,University of Luxemburg,Luxembourg
515,Male,64234 CEDEX,6,$12.99M,Ecole Universitaire d'Ingénieurs de Lille,France
516,Female,L-8396,6,$8.23B,International University Institute of Luxembourg,Luxembourg
517,Female,57954 CEDEX,4,$45.78M,Ecole Supérieure de Commerce de Pau,France
518,Female,L-8295,7,$53.58M,University of Luxemburg,Luxembourg
519,Female,85009 CEDEX,9,$347.55M,American University of Paris,France
520,Male,13509,7,$6.43B,Fachhochschule für das öffentliche Bibliothekswesen Bonn,Germany
521,Male,06721 CEDEX,1,$10.8B,Ecole Nationale Supérieure d'Agronomie de Rennes,France
522,Female,78942 CEDEX,4,$19.42M,Université de Technologie de Troyes,France
523,Female,77316 CEDEX 2,7,$582.59M,Université de Nice-Sophia Antipolis,France
524,Female,71309 CEDEX,9,$186.89M,Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,France
525,Female,38327 CEDEX,7,$756.67M,Ecole Catholique d'Arts & Metiers,France
526,Female,4819,5,$235.18M,Dutch Delta University,Netherlands
527,Female,93504 CEDEX,6,n/a,Ecole Polytechnique,France
528,Male,93175 CEDEX,3,$5.11B,"Ecole Européenne de Chimie, Polymères et Matériaux de Strasbourg",France
529,Male,02004 CEDEX,4,$17.94B,Ecole d'Ingénieurs en Informatique pour l'Industrie,France
530,Male,4024,8,$91.07M,University of Applied Sciences Aargau,Switzerland
531,Female,41468,5,$1.54B,Philosophisch-Theologische Hochschule Vallendar der Gesellschaft des Katholischen Apostolates (Pallottiner),Germany
532,Female,06254 CEDEX,5,$99.64M,Ecole Supérieure d'Optique,France
533,Male,44004 CEDEX 1,7,$5.06B,Ecole Nationale Supérieure de Physique de Marseille,France
534,Male,8204,3,$355.85M,University of Groningen,Netherlands
535,Female,3009,7,$3.72B,Dutch Delta University,Netherlands
536,Female,35581,4,$3.51B,International University in Germany,Germany
537,Female,94865 CEDEX,5,$748.44M,Université de Corse Pascal Paoli,France
538,Female,92527 CEDEX,5,$209.48M,Ecole Nationale Supérieure du Pétrole et des Monteurs,France
539,Male,06116 CEDEX,5,$4.5B,Institut Catholique d'Arts et Métiers Lille,France
540,Male,5029,1,$15.33M,NHL University of Applied Sciences,Netherlands
541,Female,37705 CEDEX,1,$1.43B,Institut Supérieure d'Electronique de Paris,France
542,Male,76069 CEDEX,4,$290.7M,Ecole Supérieure d'Agriculture d'Angers,France
543,Female,92742 CEDEX,3,$17.1B,Ecole des Hautes Etudes Commerciales,France
544,Male,75312 CEDEX 09,8,$21.03M,Ecole Superieure Robert de Sorbon,France
545,Female,30104 CEDEX,4,$731.26M,Université des Sciences Sociales (Toulouse I),France
546,Female,92041 CEDEX,6,$122.79M,Ecole Nationale Vétérinaire d'Alfort,France
547,Female,26350,2,$2.41B,Ecole Superieure Robert de Sorbon,France
548,Male,59715 CEDEX 9,5,$231.47M,Institut Textile et Chimique de Lyon,France
549,Male,34504 CEDEX,8,$3.34B,Université de Technologie de Compiègne,France
550,Female,25204 CEDEX,6,n/a,Université Catholique de l' Ouest,France
551,Male,01154 CEDEX,5,$12.79B,Université de Marne la Vallée,France
552,Male,8004,5,$274.06M,Graduate School of Business Administration Zurich (GSBA Zurich),Switzerland
553,Female,50733,6,$658.05M,"Hochschule für Technik, Wirtschaft und Kultur Leipzig (FH)",Germany
554,Male,L-5978,4,n/a,University of Luxemburg,Luxembourg
555,Female,31804 CEDEX,5,n/a,Université Paris Sud (Paris XI),France
556,Female,22042 CEDEX 2,4,n/a,Université Bordeaux I,France
557,Female,L-3377,5,$29.21M,University of Luxemburg,Luxembourg
558,Female,2334,9,$8.75B,University of Amsterdam,Netherlands
559,Female,7536,5,$3.38B,Faculté Universitaire des Sciences Agronomiques de Gembloux,Belgium
560,Male,91029 CEDEX,7,n/a,Université Val-de-Marne (Paris XII),France
561,Male,67124 CEDEX,5,$210.14M,Ecole Nationale Supérieure de Chimie de Paris,France
562,Female,L-8295,6,n/a,University of Luxemburg,Luxembourg
563,Female,66845 CEDEX,4,$2.05B,Université Blaise Pascal (Clermont-Ferrand II),France
564,Female,81543,6,$469.81M,Fachhochschule für Verwaltung und Rechtspflege Berlin,Germany
565,Male,L-9780,2,n/a,University of Luxemburg,Luxembourg
566,Male,92159 CEDEX,4,$463.67M,Institut Supérieure d'Electronique de Paris,France
567,Female,34536 CEDEX,5,$21.91B,Université Lumiére (Lyon II),France
568,Female,01189,7,$27.63M,Deutsche Sporthochschule Köln,Germany
569,Female,44804 CEDEX,3,$11.67B,Ecole Nationale Supérieur de Mécanique et d'Aéronautique,France
570,Male,4384,13,$153.66M,Radboud University of Nijmegen,Netherlands
571,Female,57045 CEDEX 01,3,$555.38M,Ecole Universitaire d'Ingénieurs de Lille,France
572,Female,59715 CEDEX 9,2,$225.51M,Institut Supérieur d'Agriculture Lille,France
573,Female,2019,5,n/a,Radboud University of Nijmegen,Netherlands
574,Male,82004 CEDEX,9,$54.95M,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,France
575,Female,76086 CEDEX,4,$814.18M,Institut Textile et Chimique de Lyon,France
576,Male,62254 CEDEX,2,$6.15B,Ecole Nationale Supérieure Agronomique de Toulouse,France
577,Female,75934 CEDEX 19,9,$401.18M,European Management Center Paris,France
578,Female,39130,6,$187.29M,Northern Institute of Technology Management (NIT),Germany
579,Female,54039 CEDEX,1,$631.55M,Institut National des Sciences Appliquées de Lyon,France
580,Male,6709,8,n/a,University of Maastricht,Netherlands
581,Female,13807 CEDEX,7,$8.17M,"Ecole Nationale Supérieure en Electrotechnique, Electronique, Informatique et Hydraulique de Toulouse",France
582,Male,83040 CEDEX 9,5,$842.05M,Ecole Nationale Supérieure de Chimie de Clermont-Ferrand,France
583,Male,92139 CEDEX,11,$541.62M,Université de Marne la Vallée,France
584,Female,22769,5,n/a,"Technische Fachhochschule Georg Agricola für Rohstoff, Energie und, Umwelt zu Bochum",Germany
585,Female,3011,8,$811.57M,NTB Interstate University of Applied Sciences of Technology,Switzerland
586,Female,95874 CEDEX,5,$164.61M,Université d'Aix-Marseille III,France
587,Male,5664,9,n/a,Foundation University,Netherlands
588,Male,2629,8,$749.12M,Foundation University,Netherlands
589,Male,35914 CEDEX 9,6,$1.82B,Ecole Superieure Robert de Sorbon,France
590,Female,05004 CEDEX,4,n/a,Ecole Supérieure de Chimie Physique Electronique de Lyon,France
591,Male,58017 CEDEX,2,$814.18M,Ecole Nationale Supérieure de Chimie de Rennes,France
592,Male,92527 CEDEX,5,$6.65M,Ecole Normale Supérieure de Paris,France
593,Female,7032,6,$16.68B,Facultés Universitaires Notre-Dame de la Paix,Belgium
594,Male,79042 CEDEX 9,2,$21.32B,Université d'Aix-Marseille III,France
595,Female,73009 CEDEX,5,$3.95B,Ecole Superieur d'Ingenieurs Leonard de Vinci,France
596,Male,39304 CEDEX,4,$2.97B,ENIC Telecom Lille 1,France
597,Male,L-9172,1,$51.95B,University of Luxemburg,Luxembourg
598,Male,86062 CEDEX 9,6,$741.31M,American University of Paris,France
599,Male,20292 CEDEX,4,$3.85B,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Bordeaux,France
600,Female,55109 CEDEX,9,$2.41B,Ecole Nationale Supérieure de Chimie de Toulouse,France
601,Male,34435 CEDEX,1,$592.24M,Ecole Nationale Supérieure de Chimie de Toulouse,France
602,Male,9052,4,$658.35M,EHSAL - Europese Hogeschool Brussel,Belgium
603,Female,56209 CEDEX,6,$184.08M,Ecole Nationale d'Ingénieurs des Techniques des Industries Agricoles et Alimentaires,France
604,Female,91295 CEDEX,3,$16.59M,Université Montesquieu (Bordeaux IV),France
605,Male,61004 CEDEX,9,$3.11B,Ecole Supérieure de Commerce et Management,France
606,Female,17314 CEDEX,9,$95.29B,Institut Supérieure d'Electronique de Paris,France
607,Male,28009 CEDEX,9,$2.41B,Ecole Nationale Supérieure des Arts et Industries Textiles,France
608,Male,67604 CEDEX,9,n/a,Université de Nice-Sophia Antipolis,France
609,Male,94019 CEDEX,7,$228.5M,Université Michel de Montaigne (Bordeaux III ),France
610,Female,20311 CEDEX 1,0,$7.18M,European Management Center Paris,France
611,Male,38319 CEDEX,3,$50.64M,Institut des hautes études économiques et commerciales,France
612,Male,13382 CEDEX 13,5,$4.83B,Ecole Supérieure de Commerce de Grenoble,France
613,Male,21030 CEDEX,6,$923.44M,Ecole Nationale de la Statistique et de l'Analyse de l'information,France
614,Male,8042,3,$20.65B,"European Graduate School, Media & Communications",Switzerland
615,Female,87930 CEDEX 9,4,$268.02M,Institut de Recherche et d'Enseignement Supérieur aux Techniques de l'électronique,France
616,Female,92509 CEDEX,6,n/a,Université de Valenciennes et du Hainaut-Cambrésis,France
617,Male,7409,9,$535.68M,Hogeschool van Amsterdam,Netherlands
618,Male,1814,7,$27.6M,Hogeschool Utrecht,Netherlands
619,Female,7409,3,$7.15B,University of Twente,Netherlands
620,Male,67504 CEDEX,5,$233.93M,Université de Savoie,France
621,Female,63009 CEDEX 1,6,$3.17B,Ecole Nationale Supérieure de Chimie de Montpellier,France
622,Male,34504 CEDEX,7,$718.32M,Université du Droit et de la Sante (Lille II),France
623,Female,54304 CEDEX,9,n/a,"Schiller International University, Paris",France
624,Male,72015 CEDEX 2,7,$748.44M,Ecole Superieur d'Ingenieurs Leonard de Vinci,France
625,Female,78165 CEDEX,4,$11.24B,Université Paul Sabatier (Toulouse III),France
626,Male,40025 CEDEX,6,$807.79M,Institut National Polytechnique de Toulouse,France
627,Male,17189 CEDEX,3,$21.5M,Ecole Nationale des Travaux Publics de l'Etat,France
628,Male,84309 CEDEX,10,$15.38M,Université de Marne la Vallée,France
629,Female,76029 CEDEX,5,$806.93M,Institut Supérieur d'Agriculture Lille,France
630,Male,51149,11,$1.08B,Katholische Fachhochschule Berlin (KFB),Germany
631,Male,44869,8,$138.36M,"Fachhochschule Trier, Hochschule für Technik, Wirtschaft und Gestaltung",Germany
632,Female,92398 CEDEX,7,$3.95B,Université d'Avignon,France
633,Male,16015 CEDEX,11,$1.77B,Université de Provence (Aix-Marseille I),France
634,Female,78804 CEDEX,4,$1.36B,Université Paul Sabatier (Toulouse III),France
635,Male,95604 CEDEX,6,$1.53B,Ecole Nationale Supérieure Agronomique de Toulouse,France
636,Male,L-5408,5,$374.11M,University of Luxemburg,Luxembourg
637,Female,34545 CEDEX,2,$531.92M,Ecole Supérieure d'Electricité,France
638,Male,24053 CEDEX,6,$4.11M,Ecole Supérieure Internationale d'Administration des Entreprises,France
639,Female,38219 CEDEX,8,$1.11B,Institut National Polytechnique de Toulouse,France
640,Female,63504 CEDEX,3,$7.22B,Université Bordeaux I,France
641,Female,95809 CEDEX,3,$920.02M,Ecole Supérieure de Commerce de Grenoble,France
642,Male,42014 CEDEX 2,6,$5.33B,European Management Center Paris,France
643,Female,2409,7,$94.73M,Hotelschool The Hague,Netherlands
644,Male,78304 CEDEX,6,$2.58B,Université de Franche-Comté,France
645,Female,42349,3,n/a,Justus Liebig Universität Gießen,Germany
646,Male,75712 CEDEX 15,5,$3.46B,Ecole des Ingénieurs de la Ville de Paris,France
647,Female,45204 CEDEX,7,$847.91M,Ecole Supérieure d'Optique,France
648,Male,7509,3,$17.14B,Eindhoven University of Technology,Netherlands
